drug,protein
DB00177,P11712
DB00195,P10635
DB00195,P05177
DB00208,P33261
DB00208,P10635
DB00208,P05164
DB00208,P11712
DB00208,P10632
DB00208,P05177
DB00208,P20813
DB00208,P05181
DB00222,P11712
DB00227,P08684
DB00227,Q15166
DB00227,P10632
DB00227,P22309
DB00227,P35503
DB00227,P16662
DB00227,P33261
DB00264,P08684
DB00264,P10635
DB00335,P10635
DB00381,P08684
DB00381,P04798
DB00381,P20813
DB00381,P20815
DB00381,P10632
DB00381,P10635
DB00381,P33261
DB00381,P11712
DB00412,P23219
DB00412,P05177
DB00412,P10635
DB00412,P08684
DB00412,P20813
DB00412,P05181
DB00412,P10632
DB00412,P11712
DB00421,P15538
DB00421,P10632
DB00421,P19099
DB00489,P10635
DB00491,P04746
DB00571,P04798
DB00571,P21397
DB00571,P05177
DB00571,P10635
DB00571,P33261
DB00571,P20815
DB00571,P08684
DB00571,P24462
DB00612,P08684
DB00627,P10635
DB00627,P08684
DB00627,P05181
DB00641,P08684
DB00641,P20815
DB00641,P10632
DB00641,P11712
DB00641,P10635
DB00641,P20813
DB00641,P22309
DB00641,P35503
DB00641,P16662
DB00641,P33261
DB00641,O00748
DB00641,P23141
DB00672,P11712
DB00672,P33261
DB00672,P23219
DB00678,P11712
DB00678,P08684
DB00678,P33261
DB00678,P22309
DB00678,P35503
DB00678,Q9HAW8
DB00678,P16662
DB00678,O75795
DB00678,P10632
DB00682,P11712
DB00682,P05177
DB00682,P33261
DB00682,P08684
DB00682,P10632
DB00682,P33260
DB00695,P52209
DB00695,P22309
DB00700,P19099
DB00700,P08684
DB00700,P20815
DB00727,P05091
DB00731,P11712
DB00731,P08684
DB00731,P20815
DB00731,P24462
DB00731,P23219
DB00731,O60656
DB00731,P10635
DB00758,P11712
DB00758,P05177
DB00758,P10632
DB00758,P23141
DB00758,P08684
DB00758,P20813
DB00758,P20815
DB00758,P33261
DB00839,P11712
DB00841,P21964
DB00881,P23141
DB00912,P10632
DB00912,P08684
DB00945,P33261
DB00945,P11712
DB00945,P19224
DB00945,P11245
DB00946,P10632
DB00946,P11712
DB00946,P08684
DB00966,P33261
DB00966,P35503
DB00973,P35503
DB00973,P54855
DB00973,P16662
DB00973,P08684
DB00973,P10632
DB00973,P22309
DB01016,P08684
DB01016,P11712
DB01016,P33261
DB01016,P24462
DB01016,P20815
DB01023,P08684
DB01023,P20815
DB01023,P24462
DB01023,P10632
DB01023,P11712
DB01023,P10635
DB01029,P35503
DB01029,P23219
DB01029,P08684
DB01029,P11712
DB01029,P10632
DB01039,O60656
DB01039,P23141
DB01039,P16152
DB01039,P10632
DB01039,P33261
DB01039,P11509
DB01039,Q04828
DB01039,P52895
DB01039,P42330
DB01039,P15121
DB01039,P11712
DB01054,P08684
DB01054,P20815
DB01054,P24462
DB01067,P22309
DB01067,P11712
DB01076,P08684
DB01076,P20815
DB01076,P24462
DB01076,P10632
DB01076,P10635
DB01076,P11712
DB01076,P33261
DB01076,P20813
DB01076,P22309
DB01076,P35503
DB01095,P04798
DB01095,P08684
DB01095,P20815
DB01095,P10632
DB01095,P11712
DB01095,P33261
DB01095,P10635
DB01095,P22309
DB01095,P35503
DB01095,P16662
DB01095,P20813
DB01098,P11712
DB01109,Q9Y251
DB01115,P08684
DB01115,P10635
DB01115,P05177
DB01115,P11509
DB01115,P10632
DB01115,P04798
DB01115,P20813
DB01115,P05181
DB01115,P11712
DB01115,P20815
DB01120,P11712
DB01120,P33261
DB01124,P11712
DB01124,P10632
DB01124,P33261
DB01124,P33260
DB01132,P04798
DB01132,P10632
DB01132,P08684
DB01136,P05177
DB01136,P08684
DB01136,P04798
DB01136,P05181
DB01136,P22309
DB01136,P06133
DB01136,P16662
DB01136,P11712
DB01136,P10635
DB01136,P47989
DB01182,P10635
DB01182,P08684
DB01182,P05177
DB01193,P10635
DB01195,P10635
DB01195,P05177
DB01195,P11712
DB01200,P08684
DB01261,P08684
DB01261,P10632
DB01276,P27487
DB01418,P11712
DB01418,P05177
DB01418,P33261
DB01418,P08684
DB06203,P08684
DB06203,P10635
DB06209,O00748
DB06209,P08684
DB06209,P20813
DB06209,P11712
DB06209,P33261
DB06228,P51589
DB06228,P20815
DB06228,P08684
DB06292,O60656
DB06292,P06133
DB06292,P16662
DB06292,P04798
DB06292,P05177
DB06292,P11509
DB06292,P11712
DB06292,P10635
DB06292,P08684
DB06335,P20815
DB06335,P08684
DB06605,P08684
DB06605,P05177
DB06605,P10632
DB06605,P11712
DB06605,P33261
DB06605,P51589
DB06605,P20815
DB06655,P27487
DB06655,P08473
DB08816,P08684
DB08816,P20815
DB08816,P20813
DB08816,P11712
DB08822,P11712
DB08822,P10632
DB08822,P20813
DB08860,P16662
DB08860,P35503
DB08860,P11712
DB08860,P10632
DB08882,P08684
DB08907,O60656
DB08907,P06133
DB08907,P08684
DB09030,P08684
DB09030,P51589
DB09038,P16662
DB09038,P35503
DB09038,Q9HAW9
DB09038,O60656
DB11827,O60656
DB11827,P16662
DB11827,P22309
DB11827,P22310
DB11936,O14975
DB11936,P16662
DB11936,Q9H093
DB13919,P10632
DB13919,P11712
DB13919,P35503
DB13919,P23219
DB13928,P27487
DB13928,P08473
DB13928,P06858
DB15059,P22309
DB15059,P16662
DB15059,P08684
DB15059,P10632
DB15059,P11712
DB15059,P33260
DB15059,P33261
