drug_id,drug_name
DB00063,Eptifibatide
DB00175,Pravastatin
DB00177,Valsartan
DB00195,Betaxolol
DB00208,Ticlopidine
DB00222,Glimepiride
DB00227,Lovastatin
DB00264,Metoprolol
DB00275,Olmesartan
DB00284,Acarbose
DB00331,Metformin
DB00335,Atenolol
DB00375,Colestipol
DB00381,Amlodipine
DB00412,Rosiglitazone
DB00421,Spironolactone
DB00457,Prazosin
DB00489,Sotalol
DB00491,Miglitol
DB00492,Fosinopril
DB00571,Propranolol
DB00584,Enalapril
DB00612,Bisoprolol
DB00627,Niacin
DB00641,Simvastatin
DB00672,Chlorpropamide
DB00678,Losartan
DB00682,Warfarin
DB00695,Furosemide
DB00700,Eplerenone
DB00722,Lisinopril
DB00727,Nitroglycerin
DB00731,Nateglinide
DB00758,Clopidogrel
DB00775,Tirofiban
DB00839,Tolazamide
DB00841,Dobutamine
DB00881,Quinapril
DB00912,Repaglinide
DB00930,Colesevelam
DB00945,Acetylsalicylic acid
DB00946,Phenprocoumon
DB00966,Telmisartan
DB00973,Ezetimibe
DB00975,Dipyridamole
DB00999,Hydrochlorothiazide
DB01016,Glyburide
DB01023,Felodipine
DB01029,Irbesartan
DB01039,Fenofibrate
DB01054,Nitrendipine
DB01067,Glipizide
DB01076,Atorvastatin
DB01095,Fluvastatin
DB01098,Rosuvastatin
DB01109,Heparin
DB01115,Nifedipine
DB01120,Gliclazide
DB01124,Tolbutamide
DB01132,Pioglitazone
DB01136,Carvedilol
DB01162,Terazosin
DB01182,Propafenone
DB01193,Acebutolol
DB01195,Flecainide
DB01197,Captopril
DB01200,Bromocriptine
DB01203,Nadolol
DB01261,Sitagliptin
DB01276,Exenatide
DB01418,Acenocoumarol
DB01432,Cholestyramine
DB06203,Alogliptin
DB06209,Prasugrel
DB06228,Rivaroxaban
DB06292,Dapagliflozin
DB06335,Saxagliptin
DB06441,Cangrelor
DB06605,Apixaban
DB06655,Liraglutide
DB08816,Ticagrelor
DB08822,Azilsartan medoxomil
DB08860,Pitavastatin
DB08882,Linagliptin
DB08907,Canagliflozin
DB09030,Vorapaxar
DB09038,Empagliflozin
DB09043,Albiglutide
DB09045,Dulaglutide
DB09075,Edoxaban
DB09265,Lixisenatide
DB09302,Alirocumab
DB09303,Evolocumab
DB11827,Ertugliflozin
DB11936,Bempedoic acid
DB12181,Dalcetrapib
DB13919,Candesartan
DB13928,Semaglutide
DB14726,Dabigatran
DB15059,Aprocitentan
