drug,side_effect
DB00195,Acidosis
DB00195,Agranulocytosis
DB00195,Alopecia
DB00195,Amnesia
DB00195,Anaemia
DB00195,Angina pectoris
DB00195,Pupils unequal
DB00195,Anorexia
DB00195,Decreased appetite
DB00195,Anxiety
DB00195,Arrhythmia
DB00195,Arthralgia
DB00195,Musculoskeletal discomfort
DB00195,Asthenia
DB00195,Asthenopia
DB00195,Asthma
DB00195,Ataxia
DB00195,Atrioventricular block
DB00195,Mental disorder
DB00195,Blepharitis
DB00195,Blepharospasm
DB00195,Breast disorder
DB00195,Bronchospasm
DB00195,Bronchitis
DB00195,Catatonia
DB00195,Cerebrovascular disorder
DB00195,Neck pain
DB00195,Chest pain
DB00195,Infection
DB00195,Confusional state
DB00195,Feeling abnormal
DB00195,Conjunctival disorder
DB00195,Conjunctivitis
DB00195,Constipation
DB00195,Cough
DB00195,Cystitis
DB00195,Cystitis noninfective
DB00195,Bladder pain
DB00195,Deafness
DB00195,Libido decreased
DB00195,Disturbance in sexual arousal
DB00195,Dysphagia
DB00195,Depression
DB00195,Dermatitis
DB00195,Diabetes mellitus
DB00195,Diarrhoea
DB00195,Dizziness
DB00195,Dysgeusia
DB00195,Dyspepsia
DB00195,Dyspnoea
DB00195,Dysuria
DB00195,Ear pain
DB00195,Eczema
DB00195,Oedema
DB00195,Endophthalmitis
DB00195,Panophthalmitis
DB00195,Toxic epidermal necrolysis
DB00195,Epistaxis
DB00195,Rash
DB00195,Eye disorder
DB00195,Eye haemorrhage
DB00195,Fatigue
DB00195,Body temperature increased
DB00195,Flushing
DB00195,Gastrointestinal disorder
DB00195,Glossitis
DB00195,Hallucination
DB00195,Headache
DB00195,Block heart
DB00195,Cardiac disorder
DB00195,Cardiac failure
DB00195,Hypercholesterolaemia
DB00195,Hyperglycaemia
DB00195,Hyperkalaemia
DB00195,Hyperlipidaemia
DB00195,Hypersensitivity
DB00195,Hypertrichosis
DB00195,Hypoglycaemia
DB00195,Hypokalaemia
DB00195,Hypotension
DB00195,Immune system disorder
DB00195,Inflammation
DB00195,Influenza
DB00195,Intermittent claudication
DB00195,Iritis
DB00195,Eye pruritus
DB00195,Arthropathy
DB00195,Osteoarthritis
DB00195,Keratitis
DB00195,Laryngospasm
DB00195,Cramps of lower extremities
DB00195,Muscle spasms
DB00195,Lethargy
DB00195,Leukocytosis
DB00195,Breast pain
DB00195,Mediastinal disorder
DB00195,Menstrual disorder
DB00195,Cramp muscle
DB00195,Myasthenia gravis
DB00195,Myocardial infarction
DB00195,Acute coronary syndrome
DB00195,Nausea
DB00195,Nervous system disorder
DB00195,Nervousness
DB00195,Tension
DB00195,Neuralgia
DB00195,Nightmare
DB00195,Numbness
DB00195,Sensory loss
DB00195,Hypoaesthesia
DB00195,Oliguria
DB00195,Pain
DB00195,Palpitations
DB00195,Paraesthesia
DB00195,Peyronie's disease
DB00195,Pharyngitis
DB00195,Pneumonia
DB00195,Prostatitis
DB00195,Proteinuria
DB00195,Protein urine present
DB00195,Pruritus
DB00195,Psychotic disorder
DB00195,Purpura
DB00195,Vascular purpura
DB00195,Rectal disorder
DB00195,Anorectal disorder
DB00195,Refraction disorder
DB00195,Rhinitis
DB00195,Salivation
DB00195,Salivary hypersecretion
DB00195,Scotoma
DB00195,Sinusitis
DB00195,Skin disorder
DB00195,Sleep disturbance
DB00195,Sleep disorder
DB00195,Speech disorder
DB00195,Sweating
DB00195,Hyperhidrosis
DB00195,Syncope
DB00195,Loss of consciousness
DB00195,Shock
DB00195,Tachycardia
DB00195,Tendonitis
DB00195,Thirst
DB00195,Thrombocytopenia
DB00195,Thrombophlebitis
DB00195,Thrombosis
DB00195,Thyrotoxicosis
DB00195,Hyperthyroidism
DB00195,Tinnitus
DB00195,Tremor
DB00195,Erythema
DB00195,Upper respiratory tract infection
DB00195,Micturition disorder
DB00195,Urticaria
DB00195,Angiopathy
DB00195,Vertigo
DB00195,Vomiting
DB00195,Weight increased
DB00195,Weight decreased
DB00195,Dry mouth
DB00195,Stupor
DB00195,Depressed level of consciousness
DB00195,Mood swings
DB00195,Affect lability
DB00195,Photophobia
DB00195,Cataract
DB00195,Mouth ulceration
DB00195,Stomatitis
DB00195,Periorbital oedema
DB00195,Conjunctival oedema
DB00195,Kidney function abnormal
DB00195,Renal impairment
DB00195,Lactic dehydrogenase activity increased
DB00195,Blood lactate dehydrogenase increased
DB00195,Eye pain
