drug,protein
DB00063,P05106
DB00063,P08514
DB00063,P54289
DB00175,P04035
DB00175,Q92769
DB00177,P30556
DB00195,P08588
DB00195,P07550
DB00208,Q9H244
DB00208,P25105
DB00222,Q14654
DB00222,P48048
DB00222,Q09428
DB00222,O60706
DB00227,P04035
DB00227,P20701
DB00227,Q92769
DB00264,P08588
DB00264,P07550
DB00275,P30556
DB00284,O43451
DB00284,P14410
DB00284,P04746
DB00284,P10253
DB00331,Q16134
DB00331,Q9Y478
DB00331,Q96FL8
DB00331,O00763
DB00331,P21695
DB00335,P08588
DB00335,P07550
DB00381,Q13936
DB00381,Q9P0X4
DB00381,P54289
DB00381,Q00975
DB00381,Q02641
DB00381,Q8IZS8
DB00381,P00915
DB00381,P17405
DB00412,P37231
DB00412,P19793
DB00412,O60488
DB00421,P08235
DB00421,P04150
DB00421,P10275
DB00421,P06401
DB00421,P03372
DB00421,O75469
DB00421,Q13936
DB00457,P35348
DB00457,P35368
DB00457,P25100
DB00457,Q12809
DB00457,P08913
DB00457,P18089
DB00489,P08588
DB00489,P07550
DB00489,Q12809
DB00491,P10253
DB00491,Q14697
DB00491,Q8TET4
DB00491,O43451
DB00492,P12821
DB00571,P08588
DB00571,P07550
DB00571,P13945
DB00571,P08908
DB00571,P28222
DB00584,P12821
DB00612,P08588
DB00612,P07550
DB00627,P49019
DB00627,Q8TDS4
DB00627,Q15274
DB00627,P40261
DB00627,Q96PD7
DB00641,P04035
DB00641,P20701
DB00641,Q92769
DB00672,Q09428
DB00672,P78508
DB00678,P19235
DB00678,P30556
DB00682,Q9BQB6
DB00682,O75469
DB00695,Q13621
DB00695,P00918
DB00695,Q9HC97
DB00700,P08235
DB00722,P12821
DB00722,P00797
DB00727,Q02153
DB00727,Q02108
DB00727,P00533
DB00727,P16066
DB00731,Q09428
DB00731,P37231
DB00758,Q9H244
DB00775,P08514
DB00775,P05106
DB00839,Q09428
DB00839,P78508
DB00841,P35348
DB00841,P08588
DB00841,P07550
DB00841,P03372
DB00881,P12821
DB00912,Q09428
DB00912,P35367
DB00912,O60706
DB00912,P37231
DB00945,P23219
DB00945,P35354
DB00945,P04035
DB00945,Q04828
DB00945,Q13131
DB00945,P25101
DB00945,P04637
DB00945,P11021
DB00945,P51812
DB00945,P25963
