protein,go_term
O00748,GO:0005783
O00748,GO:0005788
O00748,GO:0006693
O00748,GO:0006805
O00748,GO:0047374
O00748,GO:0050253
O00748,GO:0050784
O00748,GO:0052689
O00748,GO:0071273
O00748,GO:0098754
O00748,GO:0106435
O14975,GO:0001561
O14975,GO:0001676
O14975,GO:0004467
O14975,GO:0005324
O14975,GO:0005524
O14975,GO:0005778
O14975,GO:0005788
O14975,GO:0005789
O14975,GO:0005829
O14975,GO:0005886
O14975,GO:0006635
O14975,GO:0006699
O14975,GO:0008206
O14975,GO:0019899
O14975,GO:0031957
O14975,GO:0033540
O14975,GO:0035579
O14975,GO:0044539
O14975,GO:0046949
O14975,GO:0047676
O14975,GO:0047747
O14975,GO:0050197
O14975,GO:0070062
O14975,GO:0070251
O14975,GO:0097089
O60706,GO:0005267
O60706,GO:0005524
O60706,GO:0005739
O60706,GO:0005886
O60706,GO:0008281
O60706,GO:0008282
O60706,GO:0015459
O60706,GO:0016887
O60706,GO:0019829
O60706,GO:0030017
O60706,GO:0031004
O60706,GO:0033198
O60706,GO:0042383
O60706,GO:0042626
O60706,GO:0044325
O60706,GO:0044877
O60706,GO:0051607
O60706,GO:0055085
O60706,GO:0061337
O60706,GO:0071805
O60706,GO:0098655
O60706,GO:0099104
O60706,GO:0140359
O60706,GO:0150104
O60706,GO:1990573
O75469,GO:0000122
O75469,GO:0000785
O75469,GO:0000977
O75469,GO:0000978
O75469,GO:0000981
O75469,GO:0001228
O75469,GO:0004879
O75469,GO:0005634
O75469,GO:0005654
O75469,GO:0005737
O75469,GO:0006351
O75469,GO:0006355
O75469,GO:0006805
O75469,GO:0007165
O75469,GO:0008202
O75469,GO:0008270
O75469,GO:0016922
O75469,GO:0030154
O75469,GO:0030522
O75469,GO:0042178
O75469,GO:0042908
O75469,GO:0045892
O75469,GO:0045893
O75469,GO:0045944
O75469,GO:0060729
O75469,GO:0071219
O75469,GO:1990837
O76074,GO:0004114
O76074,GO:0004115
O76074,GO:0005829
O76074,GO:0007165
O76074,GO:0030553
O76074,GO:0046069
O76074,GO:0046872
O76074,GO:0047555
O76074,GO:0141162
O95298,GO:0005737
O95298,GO:0005739
O95298,GO:0005743
O95298,GO:0005886
O95298,GO:0006120
O95298,GO:0008137
O95298,GO:0009060
O95298,GO:0010918
O95298,GO:0032981
O95298,GO:0035577
O95298,GO:0042776
O95298,GO:0045271
O95298,GO:1901223
O95298,GO:1903427
