protein,pathway
O00748,hsa00983
O00763,hsa00061
O00763,hsa00620
O00763,hsa00640
O00763,hsa01100
O00763,hsa04152
O00763,hsa04910
O00763,hsa04920
O00763,hsa04922
O00763,hsa04931
O00763,hsa04936
O14975,hsa03320
O14975,hsa04146
O14975,hsa04931
O43451,hsa00052
O43451,hsa00500
O43451,hsa01100
O43451,hsa04973
O43497,hsa04010
O43497,hsa04020
O43497,hsa04713
O43497,hsa04925
O43497,hsa04927
O43497,hsa04929
O43497,hsa04930
O43497,hsa04934
O60488,hsa00061
O60488,hsa00071
O60488,hsa01100
O60488,hsa01212
O60488,hsa03320
O60488,hsa04146
O60488,hsa04216
O60488,hsa04714
O60488,hsa04920
O60656,hsa00040
O60656,hsa00053
O60656,hsa00140
O60656,hsa00830
O60656,hsa00860
O60656,hsa00980
O60656,hsa00982
O60656,hsa00983
O60656,hsa01100
O60656,hsa01240
O60656,hsa04976
O60656,hsa05204
O60656,hsa05207
O60706,hsa02010
O75795,hsa00040
O75795,hsa00053
O75795,hsa00140
O75795,hsa00830
O75795,hsa00860
O75795,hsa00980
O75795,hsa00982
O75795,hsa00983
O75795,hsa01100
O75795,hsa01240
O75795,hsa04976
O75795,hsa05204
O75795,hsa05207
O76074,hsa00230
O76074,hsa01100
O76074,hsa04022
O95180,hsa04010
O95180,hsa04020
O95180,hsa04713
O95180,hsa04925
O95180,hsa04927
O95180,hsa04929
O95180,hsa04934
O95298,hsa00190
O95298,hsa01100
O95298,hsa04714
O95298,hsa04723
O95298,hsa04932
O95298,hsa05010
O95298,hsa05012
O95298,hsa05014
O95298,hsa05016
O95298,hsa05020
O95298,hsa05022
O95298,hsa05208
O95298,hsa05415
O95342,hsa01522
O95342,hsa02010
O95342,hsa04976
O95342,hsa04979
O95477,hsa02010
O95477,hsa04148
O95477,hsa04975
O95477,hsa04979
O95477,hsa05417
O95750,hsa04010
O95750,hsa04014
O95750,hsa04015
O95750,hsa04020
O95750,hsa04151
O95750,hsa04810
O95750,hsa05200
O95750,hsa05218
O95750,hsa05224
O95750,hsa05226
P00533,hsa01521
P00533,hsa01522
P00533,hsa03272
P00533,hsa04010
P00533,hsa04012
P00533,hsa04014
P00533,hsa04015
P00533,hsa04020
P00533,hsa04066
P00533,hsa04068
P00533,hsa04072
P00533,hsa04144
P00533,hsa04151
P00533,hsa04510
P00533,hsa04518
P00533,hsa04519
P00533,hsa04520
P00533,hsa04540
P00533,hsa04630
P00533,hsa04810
P00533,hsa04912
P00533,hsa04915
P00533,hsa04921
P00533,hsa04926
P00533,hsa04928
P00533,hsa04934
P00533,hsa05120
P00533,hsa05131
P00533,hsa05160
P00533,hsa05163
P00533,hsa05165
P00533,hsa05171
P00533,hsa05200
P00533,hsa05205
P00533,hsa05206
P00533,hsa05207
P00533,hsa05208
P00533,hsa05210
P00533,hsa05212
P00533,hsa05213
P00533,hsa05214
P00533,hsa05215
P00533,hsa05218
P00533,hsa05219
P00533,hsa05223
P00533,hsa05224
P00533,hsa05225
P00533,hsa05226
P00533,hsa05230
P00533,hsa05231
P00533,hsa05235
P00734,hsa04072
P00734,hsa04080
P00734,hsa04610
P00734,hsa04611
P00734,hsa04810
P00734,hsa05130
P00734,hsa05171
P00734,hsa05200
P00742,hsa04610
P00797,hsa04614
P00797,hsa04924
P00797,hsa05415
P00813,hsa00230
P00813,hsa01100
P00813,hsa01232
P00813,hsa05340
P00915,hsa00910
P00915,hsa01100
P00918,hsa00910
P00918,hsa01100
P00918,hsa04964
P00918,hsa04966
P00918,hsa04971
P00918,hsa04972
P00918,hsa04976
P01008,hsa04610
P01106,hsa04010
P01106,hsa04012
P01106,hsa04110
P01106,hsa04151
P01106,hsa04218
P01106,hsa04310
P01106,hsa04350
P01106,hsa04390
P01106,hsa04550
P01106,hsa04630
P01106,hsa04919
P01106,hsa05132
P01106,hsa05160
P01106,hsa05161
P01106,hsa05163
P01106,hsa05166
P01106,hsa05167
P01106,hsa05169
P01106,hsa05200
P01106,hsa05202
P01106,hsa05205
P01106,hsa05206
P01106,hsa05207
P01106,hsa05210
