drug1,drug2
DB00227,DB00999
DB01200,DB11936
DB00227,DB00381
DB00284,DB09030
DB08816,DB12181
DB01132,DB06203
DB00264,DB00758
DB01067,DB08822
DB00331,DB00491
DB09038,DB12181
DB00489,DB06209
DB00695,DB01095
DB01109,DB11936
DB01195,DB11936
DB00945,DB08860
DB01029,DB13928
DB00612,DB06441
DB00195,DB14726
DB00195,DB06209
DB00973,DB00999
DB00492,DB01195
DB00208,DB00457
DB00421,DB01418
DB01432,DB06228
DB00177,DB13928
DB00641,DB11827
DB00227,DB00975
DB00421,DB01098
DB01195,DB06335
DB00641,DB09045
DB01195,DB09038
DB00275,DB09303
DB00222,DB00584
DB00412,DB08860
DB01115,DB09030
DB08822,DB11936
DB09303,DB13928
DB01276,DB08822
DB00275,DB00381
DB01029,DB09043
DB00930,DB13928
DB01039,DB01200
DB00571,DB06441
DB00641,DB00841
DB00727,DB01132
DB06209,DB06655
DB00381,DB01076
DB00457,DB01109
DB01124,DB09030
DB00331,DB14726
DB00700,DB06655
DB00208,DB01432
DB00966,DB01276
DB01076,DB01136
DB01120,DB12181
DB00881,DB09303
DB01023,DB09075
DB00727,DB01276
DB00412,DB06441
DB01276,DB08860
DB01039,DB06655
DB00973,DB01132
DB01098,DB06441
DB00227,DB01067
DB06655,DB08822
DB00175,DB00945
DB00727,DB09075
DB00722,DB09303
DB06441,DB11827
DB00175,DB01132
DB00966,DB08816
DB00375,DB00584
DB11936,DB14726
DB01136,DB11936
DB00584,DB01067
DB00731,DB08860
DB09302,DB13928
DB12181,DB13919
DB06203,DB11936
DB00584,DB00999
DB00999,DB01197
DB00491,DB00682
DB00063,DB09045
DB00695,DB01418
DB00966,DB09075
DB00930,DB14726
DB01023,DB08860
DB00335,DB08816
DB00841,DB09045
DB00375,DB00841
DB01016,DB09075
DB01109,DB15059
DB01200,DB06441
DB12181,DB15059
DB00973,DB08860
DB01029,DB11827
DB00973,DB01162
DB00881,DB01124
DB01197,DB09043
DB00284,DB01418
DB01076,DB11827
DB01261,DB06292
DB01197,DB14726
DB00672,DB00966
DB00930,DB01432
DB00222,DB00775
DB00491,DB09075
DB06228,DB08822
DB00722,DB00946
DB06441,DB11936
DB01193,DB01418
DB08860,DB09043
DB00731,DB09030
DB00177,DB08860
DB00584,DB06209
DB00678,DB01132
DB00227,DB06655
DB00489,DB01098
DB08822,DB11827
DB00731,DB11936
DB00381,DB08816
DB00375,DB15059
DB00881,DB12181
DB00489,DB09030
DB00672,DB00881
DB06203,DB08816
DB01054,DB09075
DB00491,DB13919
DB01432,DB09265
DB00584,DB01418
DB00195,DB01076
DB00491,DB01162
DB09075,DB12181
DB00227,DB01276
DB01203,DB08816
DB00722,DB00758
DB00421,DB09045
DB00412,DB12181
DB01418,DB06292
DB01016,DB15059
DB00973,DB01136
DB00722,DB08816
DB00063,DB01039
DB01432,DB09045
DB00722,DB01432
DB00930,DB06655
DB00612,DB00973
DB00421,DB00973
DB00973,DB01195
DB01023,DB11936
DB01203,DB01418
DB06209,DB13928
DB00946,DB01054
DB00375,DB00457
DB01029,DB12181
DB00227,DB01124
DB00492,DB00973
DB09030,DB09043
DB00275,DB06335
DB00912,DB01197
DB00222,DB08822
DB00375,DB11827
DB06605,DB11936
DB00208,DB09302
DB06441,DB08822
DB08882,DB14726
DB01195,DB09302
DB08860,DB08882
DB00421,DB11827
DB01197,DB12181
DB00841,DB01132
DB00412,DB08822
DB09303,DB11936
DB00275,DB08860
DB00375,DB00775
DB01203,DB06605
DB00491,DB01418
DB00966,DB09302
DB00758,DB09302
DB00775,DB01029
DB00722,DB13928
DB00175,DB06655
DB00973,DB08882
DB00489,DB12181
DB01029,DB09265
DB08822,DB09043
DB00727,DB00775
DB00063,DB15059
DB01203,DB09030
DB00727,DB06655
DB00775,DB09043
DB00284,DB00492
DB00839,DB00973
DB06209,DB09043
DB00175,DB00264
DB06203,DB09030
DB00457,DB09030
DB00492,DB09030
DB00264,DB12181
DB00063,DB00275
DB00775,DB13928
DB01054,DB08860
DB01098,DB01182
DB00195,DB00946
DB08882,DB13919
DB00331,DB06441
DB01029,DB09302
DB09030,DB09303
DB00227,DB06203
DB00758,DB00841
DB00175,DB00421
DB01076,DB01182
DB00973,DB08822
DB01162,DB06655
DB00973,DB09038
DB00722,DB01418
DB06228,DB09043
DB00722,DB01195
DB00727,DB11827
DB01039,DB09038
DB01076,DB09302
DB00912,DB08822
DB01432,DB06209
DB00331,DB01120
DB00612,DB00627
DB00775,DB12181
DB00700,DB11827
DB00584,DB13928
DB00881,DB00973
DB00275,DB01124
DB00727,DB09303
DB00195,DB09075
DB00672,DB08822
DB00973,DB06441
DB00175,DB00381
DB01098,DB01193
DB09045,DB14726
DB01276,DB15059
DB00331,DB09030
DB00492,DB09302
DB00731,DB08822
DB00457,DB00775
DB00975,DB09043
DB01162,DB06228
DB01120,DB14726
DB00457,DB00839
DB00881,DB01076
DB00457,DB09302
DB00222,DB00492
DB00175,DB01276
DB01132,DB01197
DB08816,DB09302
DB00775,DB01193
DB00195,DB08816
DB00841,DB08816
DB00412,DB01162
DB01195,DB08816
DB01195,DB09265
DB00331,DB00412
DB01200,DB06209
DB00227,DB01261
DB01197,DB11936
DB00331,DB00727
DB01162,DB09043
DB00912,DB15059
DB00457,DB06655
DB00063,DB00841
DB01195,DB01432
DB00491,DB00966
DB06441,DB09265
DB09302,DB13919
DB00208,DB15059
DB01039,DB11827
DB00973,DB06655
DB01109,DB01162
DB00381,DB00627
DB09265,DB09302
DB00489,DB08860
DB00841,DB08860
DB00946,DB06292
DB00275,DB00775
DB00421,DB09302
DB00177,DB06655
DB08822,DB09265
DB00275,DB06605
DB00175,DB00208
DB01095,DB06441
DB00695,DB08816
DB00335,DB00682
DB00627,DB14726
DB00177,DB09303
DB00966,DB01432
DB00839,DB01076
DB09038,DB09075
DB01095,DB09265
DB00966,DB00999
DB09030,DB09038
DB00627,DB00727
DB00375,DB00700
DB06655,DB13919
DB00682,DB01193
DB00841,DB00973
DB06605,DB15059
DB00195,DB12181
DB00930,DB09043
DB01016,DB08822
DB01261,DB09302
DB00678,DB01098
DB01261,DB12181
DB00375,DB01261
DB00275,DB01098
DB01076,DB15059
DB09303,DB14726
DB00208,DB09303
DB01432,DB15059
DB00284,DB00700
DB00966,DB08860
DB00839,DB15059
DB00421,DB00491
DB01195,DB11827
DB00222,DB12181
DB00731,DB01162
DB00584,DB00912
DB00678,DB00999
DB00841,DB09043
DB00264,DB00946
DB00331,DB00975
DB09045,DB13919
DB00177,DB00491
DB00227,DB15059
DB00682,DB06292
DB00331,DB00912
DB00457,DB01276
DB06335,DB09030
DB00275,DB09302
DB00381,DB00966
DB06203,DB15059
DB00584,DB09030
DB00695,DB00946
DB00727,DB09043
DB00584,DB01132
DB00492,DB09303
DB00700,DB09043
DB00881,DB09302
DB01076,DB01193
DB00175,DB11827
DB00641,DB00775
DB00700,DB01418
DB00275,DB06203
DB01162,DB01432
DB00457,DB13928
DB01193,DB08860
DB00731,DB00975
DB00695,DB01076
DB00177,DB00999
DB01418,DB11936
DB01039,DB11936
DB01276,DB06228
DB01197,DB06605
DB00973,DB09075
DB00727,DB01432
DB01109,DB06655
DB00491,DB00678
DB00727,DB08882
DB08860,DB09302
DB00063,DB00375
DB00912,DB14726
DB00881,DB06209
DB00492,DB00912
DB00421,DB09030
DB00175,DB14726
DB00612,DB01418
DB00264,DB08816
DB00881,DB01418
DB00063,DB00457
DB00222,DB00227
DB00839,DB12181
DB00975,DB01124
DB00841,DB06292
DB00627,DB00999
DB00412,DB11936
DB00208,DB01162
DB00227,DB06209
DB00678,DB09265
DB00946,DB01193
DB01076,DB08907
DB00375,DB09302
DB00177,DB11827
DB00284,DB13919
DB00672,DB06441
DB00335,DB06209
DB00975,DB09045
DB00375,DB12181
DB00284,DB00841
DB06228,DB12181
DB00841,DB01120
DB00584,DB06441
DB09302,DB11936
DB00700,DB01276
DB01016,DB06441
DB00457,DB06209
DB01162,DB06335
DB00177,DB01132
DB01162,DB11936
DB00946,DB01197
DB00284,DB15059
DB00584,DB00758
DB00421,DB01120
DB00227,DB09038
DB00175,DB00489
DB06605,DB13928
DB09265,DB15059
DB00177,DB00227
DB09030,DB12181
DB01109,DB12181
DB01054,DB06209
DB01162,DB01276
DB00491,DB00975
DB01203,DB08860
DB00227,DB00945
DB00672,DB00973
DB01124,DB11936
DB01039,DB09043
DB00275,DB13928
DB00275,DB00375
DB01095,DB09043
DB06655,DB09302
DB00758,DB00973
DB00641,DB12181
DB00492,DB09045
DB00930,DB00966
DB00264,DB11936
DB00641,DB01261
DB00195,DB06228
DB00227,DB00678
DB00975,DB13928
DB01098,DB01203
DB00641,DB06655
DB00227,DB00627
DB00177,DB00775
DB00264,DB01418
DB08907,DB11936
DB01195,DB06292
DB00945,DB11936
DB00381,DB00584
DB00177,DB00930
DB06441,DB09038
DB00222,DB00722
DB00491,DB00973
DB01124,DB08860
DB00264,DB09030
DB00975,DB01132
DB00881,DB01016
DB00491,DB00722
DB00612,DB08860
DB00208,DB00973
DB00381,DB06228
DB00678,DB09030
DB00945,DB01076
DB00930,DB11936
DB08822,DB12181
DB00063,DB00222
DB00930,DB06441
DB01076,DB06209
DB00375,DB09075
DB00222,DB00881
DB00727,DB01076
DB00222,DB11936
DB00641,DB01276
DB09302,DB11827
DB00775,DB01182
DB00881,DB01120
DB00612,DB01098
DB01418,DB15059
DB00930,DB09030
DB00227,DB01120
DB00457,DB01418
DB00966,DB06655
DB00264,DB00999
DB00489,DB01076
DB01162,DB06441
DB00331,DB00457
DB00412,DB09030
DB09303,DB15059
DB00421,DB06655
DB00945,DB00975
DB01195,DB01200
DB00222,DB00841
DB00912,DB08860
DB00775,DB08822
DB01039,DB06292
DB00881,DB09030
DB00063,DB08822
DB00063,DB00678
DB00177,DB01432
DB00375,DB06441
DB00584,DB01120
DB00912,DB09075
DB00175,DB00284
DB09030,DB11936
DB06228,DB06655
DB00841,DB09303
DB00335,DB09075
DB08860,DB14726
DB08882,DB15059
DB01115,DB11936
DB00275,DB08816
DB01261,DB01432
DB00722,DB00973
DB00722,DB01095
DB01023,DB09030
DB01067,DB01197
DB00930,DB08822
DB00457,DB06228
DB00275,DB08882
DB00063,DB11936
DB00063,DB00722
DB01109,DB09303
DB00375,DB01197
DB00491,DB01029
DB00063,DB01195
DB00457,DB00641
DB00227,DB11827
DB00491,DB00841
DB00421,DB08860
DB00584,DB00930
DB00722,DB12181
DB00275,DB00627
DB01132,DB08822
DB00175,DB01124
DB00275,DB01132
DB00727,DB06605
DB00222,DB09030
DB00208,DB13928
DB00775,DB00881
DB00973,DB09265
DB00930,DB01197
DB00571,DB11936
DB00731,DB00881
DB00946,DB00966
DB00912,DB12181
DB01197,DB09303
DB01432,DB13928
DB00222,DB01197
DB00457,DB00912
DB01276,DB13919
DB00375,DB06228
DB01162,DB08882
DB00421,DB00641
DB00966,DB06441
DB00727,DB06203
DB01023,DB14726
DB00063,DB01276
DB01076,DB09043
DB00175,DB00678
DB00457,DB06335
DB00912,DB01195
DB01261,DB15059
DB00227,DB01162
DB01054,DB01418
DB00275,DB06441
DB00930,DB01029
DB00945,DB00973
DB00841,DB01076
DB01076,DB08822
DB00175,DB01195
DB00175,DB09303
DB00208,DB08882
DB00063,DB01162
DB00375,DB09043
DB01076,DB09030
DB01195,DB06228
DB00208,DB00227
DB00177,DB00627
DB00641,DB06292
DB00584,DB00672
DB00177,DB00284
DB00063,DB13928
DB01193,DB11936
DB01200,DB09075
DB00695,DB00973
DB00195,DB00973
DB00227,DB00284
DB00331,DB01418
DB00627,DB00841
DB06655,DB14726
DB00175,DB00758
DB00584,DB00973
DB00491,DB06441
DB00973,DB11936
DB00175,DB01029
DB00331,DB00973
DB00063,DB09302
DB00381,DB09075
DB01132,DB06228
DB06655,DB11936
DB00841,DB11936
DB00672,DB00975
DB06292,DB06605
DB01432,DB13919
