protein1,protein2
P13569,Q9Y478
P13569,P48048
P13569,Q13131
P08620,P05230
P08620,P01137
P08620,O95750
P08620,P14210
P08620,P00533
P08620,P22455
P08620,P11362
P08620,P21802
P21917,P27338
P21917,P14416
P21917,P21397
P21917,P21964
P21917,P35462
P11597,P04035
P11597,Q8NBP7
P11597,Q9UHC9
P11597,O95477
P11597,P06858
P46663,P12821
P46663,P00734
P25963,P14780
P25963,P11021
P25963,Q16665
P25963,P42574
P25963,P19320
P25963,P35354
P25963,P05412
P25963,P04637
P08253,P42574
P08253,Q16665
P08253,P24385
P08253,P14210
P08253,P35354
P08253,P09038
P08253,P14780
P08253,P01137
P01137,P42574
P01137,P05412
P01137,P05106
P01137,P01106
P01137,P00797
P01137,P04637
P01137,P05230
P01137,Q16665
P01137,P14210
P01137,P37231
P01137,P14780
P01137,P00533
P01137,P09038
P14210,P22455
P14210,P14780
P14210,P05230
P14210,P11362
P14210,P21802
P14210,P09038
P14210,P00533
P20815,Q9BQB6
P20815,Q9H244
P20815,O75469
P20815,P05181
P20815,P42330
P20815,P08684
P20815,P11509
P20815,O75795
P20815,P33260
P20815,P06133
P20815,P10632
P20815,P33261
P20815,P11712
P20815,P05177
P20815,P35503
P20815,P54855
P20815,O60656
P20815,P24462
P20815,P20813
P20815,P04798
P20815,P22309
P20815,P16662
P20815,Q9HAW8
P20815,P19224
P20815,Q9HAW9
P20815,P22310
P05164,P15144
P05164,P16581
P05164,P11245
P05164,P23141
P05164,P14780
P24385,P08473
P24385,P14780
P24385,P06401
P24385,P00533
P24385,P42574
P24385,Q16665
P24385,P05412
P24385,P04637
P24385,P10275
P24385,P01106
P24385,P12004
P24385,P03372
P04150,P07550
P04150,P06401
P04150,P10275
P04150,Q16665
P04150,Q92769
P04150,P00533
P04150,P03372
P04150,P08235
P04150,P04637
P04150,P05412
P63316,P02585
P35869,P05177
P35869,P03372
P35869,P04798
Q01064,Q02108
Q01064,P16066
Q01064,Q02153
Q01064,P54750
Q01064,P0DP23
P98066,P35354
P98066,P09038
P63252,Q92736
P63252,Q9UK17
P63252,P17302
P63252,Q13698
P63252,P35499
P63252,Q13936
P63252,Q14524
P63252,P25101
P63252,Q12809
P63252,P48050
Q8TD43,P35499
Q8TD43,Q14524
Q8TD43,Q09428
P41595,P28222
P41595,P30556
P41595,Q13698
P41595,Q01668
P41595,Q13936
P41595,P28223
P41595,P28335
P02763,P08684
P11712,Q14994
P11712,P10635
P11712,O75469
P11712,P33260
P11712,O75795
P11712,P35503
P11712,O60656
P11712,P54855
P11712,P20813
P11712,P51589
P11712,P10632
P11712,P16662
P11712,P06133
P11712,Q9HAW8
P11712,P22309
P11712,Q9HAW9
P11712,P05181
P11712,P35354
P11712,P23219
P11712,P22310
P11712,P11509
P11712,P05177
P11712,P04798
P11712,P19224
P11712,P24462
P11712,Q9BQB6
P11712,P08684
P11712,P33261
O60706,Q14524
O60706,Q09428
O60706,Q14654
P05091,P05181
P05091,P15121
P05091,P27338
P05091,P21397
Q12809,P08684
Q12809,Q92736
Q12809,P35499
Q12809,Q08289
Q12809,Q9UK17
Q12809,Q9H252
Q12809,Q13936
Q12809,Q14524
P08514,P25116
P08514,P00734
P08514,Q9H244
P08514,P02776
P08514,P16109
P08514,P05106
P16109,P20701
P16109,P25116
P16109,Q9H244
P16109,P02776
P16109,P05106
P16109,P16581
P16109,P19320
P14410,P43220
P14410,P31639
P14410,P27487
P14410,O43451
P14410,Q8TET4
P14410,P10253
P14410,P04746
P09038,P01106
P09038,Q16665
P09038,P04637
P09038,P35354
P09038,P14780
P09038,P00533
P09038,P05230
P09038,P21802
P09038,P22455
P09038,P11362
P50416,P37231
P50416,Q07869
P50416,O60488
P50416,O00763
Q13936,Q9P0X4
Q13936,Q00975
Q13936,Q9UK17
Q13936,O43497
Q13936,Q8IZS8
Q13936,O95180
Q13936,P28335
Q13936,Q12791
Q13936,P28223
Q13936,P07550
Q13936,Q01668
Q13936,Q92736
Q13936,Q9NY47
Q13936,Q13698
Q13936,Q02641
Q13936,P54289
Q13936,Q08289
Q13936,P0DP23
O14975,O60488
P04637,Q13131
P04637,P11021
P04637,P14780
P04637,P06401
P04637,P29466
P04637,P10275
P04637,P12004
P04637,P00533
P04637,P37231
P04637,P42574
P04637,P35354
P04637,Q92769
P04637,P03372
P04637,P05412
P04637,P01106
P04637,Q16665
P52209,P53396
P00797,P27487
P00797,P08588
P00797,P16860
P00797,Q13621
P00797,P08473
P00797,P15538
P00797,P31639
P00797,P55017
P00797,P19099
P00797,P08235
P00797,P30556
P00797,P12821
P00533,Q8NBP7
P00533,P42574
P00533,O95750
P00533,P14780
P00533,P06401
P00533,P35354
P00533,P37231
P00533,P0DP23
P00533,P11021
P00533,P10275
P00533,P05412
P00533,P40261
P00533,P01106
P00533,P05230
P00533,Q16665
P00533,P03372
P28335,P28222
P28335,P27338
P28335,Q13698
P28335,Q01668
P28335,P28223
P08913,P21964
P08913,P18825
P17302,P0DP23
P17302,Q14524
P00918,P00915
P15121,P42330
P15121,P16152
P33260,P34969
P33260,P33261
P33260,P06133
P33260,P54855
P33260,O75795
P33260,P16662
P33260,P35503
P33260,O60656
P33260,Q9HAW8
P33260,P22309
P33260,P22310
P33260,Q9HAW9
P33260,P08684
P33260,P19224
P33260,P05177
P33260,P04798
P33260,P24462
P11245,P10635
P11245,P23141
P11245,P11509
P11245,P47989
P11245,P05181
P11245,P05177
Q12791,Q13698
Q12791,P48048
Q12791,Q01668
P37231,P35354
P37231,Q14654
P37231,P14780
P37231,Q92769
P37231,P03372
P37231,O95477
P37231,P05412
P37231,Q16665
P37231,P06858
P37231,P19793
P04035,P53396
P04035,P12821
P04035,Q07869
P04035,O95477
P04035,Q8NBP7
P04035,Q9UHC9
P04035,Q9Y478
P04035,Q13131
Q01668,Q00975
Q01668,O43497
Q01668,O95180
Q01668,Q8IZS8
Q01668,P28223
Q01668,Q92736
Q01668,Q9NY47
Q01668,Q13698
Q01668,Q02641
Q01668,P0DP23
Q01668,Q08289
Q01668,P54289
Q9UHC9,Q8NBP7
Q9UHC9,O95477
P16152,P06133
P16152,P35503
P16152,P54855
P16152,O60656
P16152,P22309
P16152,P22310
P16152,P16662
P16152,O75795
P16152,Q9HAW8
P16152,P11509
P16152,Q9HAW9
P16152,P05181
P16152,P10635
P16152,P19224
P16152,P04798
P16152,P08684
P16152,P42330
P12821,P47989
P12821,P14780
P12821,P0DP23
P12821,P16581
P12821,P31639
P12821,P16860
P12821,P15144
P12821,P19099
P12821,P27487
P12821,P08473
P12821,P08235
P12821,P30556
P0DP23,P14416
P0DP23,P53805
P0DP23,Q9P0X4
P0DP23,O95180
P0DP23,Q00975
P0DP23,O43497
P0DP23,P54750
P0DP23,P35499
P0DP23,Q13698
P0DP23,P03372
P0DP23,Q14524
P0DP23,Q92736
P22455,P11362
P22455,P05230
P22455,O95750
P15538,P19099
P15538,Q04828
P15538,P42330
O95750,P21802
O95750,P11362
P19320,P14780
P19320,P35354
P19320,P16581
P19320,P20701
P02776,P01008
Q02108,Q9Y233
Q02108,P54750
Q02108,O76074
Q02108,Q02153
P15144,P08473
P15144,P27487
P11509,O75469
P11509,Q04828
P11509,P52895
P11509,P05181
P11509,P47989
P11509,P20813
P11509,P24462
P11509,P10635
P11509,P06133
P11509,P35503
P11509,P04798
P11509,O75795
P11509,Q9HAW9
P11509,P54855
P11509,O60656
P11509,P22309
P11509,Q9HAW8
P11509,P05177
P11509,P19224
P11509,P22310
P11509,P16662
P11509,P08684
P19224,P23141
P19224,O75469
P19224,O00748
P19224,P21964
P19224,P33261
P19224,P24462
P19224,P10632
P19224,P20813
P19224,P42330
P19224,P52895
P19224,Q04828
P19224,P05177
P19224,P05181
P19224,P10635
P19224,P04798
P19224,Q9HAW8
P19224,P08684
P19224,P22310
P19224,Q9HAW9
P19224,O60656
P19224,P35503
P19224,P22309
P16662,O00748
P16662,P23141
P16662,P33261
P16662,P24462
P16662,P21964
P16662,P05177
P16662,Q04828
P16662,P52895
P16662,P20813
P16662,P42330
P16662,P10632
P16662,P05181
P16662,P04798
P16662,P10635
P16662,P08684
P22309,O75469
P22309,P33261
P22309,P23141
P22309,P24462
P22309,O00748
P22309,P21964
P22309,P10632
P22309,P42330
P22309,P20813
P22309,P52895
P22309,Q04828
P22309,P05177
P22309,P05181
P22309,P10635
P22309,P04798
P22309,P08684
P22309,P22310
P22309,Q9HAW8
P22309,Q9HAW9
P22309,P35503
P22309,O60656
P06133,P23141
P06133,O00748
P06133,P24462
P06133,P21964
P06133,P10632
P06133,P20813
P06133,P52895
P06133,P42330
P06133,Q04828
P06133,P05177
P06133,P05181
P06133,P04798
P06133,P10635
P06133,P08684
P07550,P27815
P07550,P30556
P07550,P13945
P07550,P08588
P10253,O43451
P10253,P04746
P21918,O75795
P21918,P21728
P48050,P78508
P35368,P25100
P35368,P35348
Q9H244,P05106
Q9H244,P33261
P00734,Q9BQB6
P00734,P25101
P00734,P24530
P00734,P30556
P00734,P25116
P00734,P01008
P00734,P00742
P42574,P29466
P42574,Q14654
P42574,Q16665
P42574,P11021
P42574,P14780
P42574,P05412
P42574,P35354
P42574,P01106
P25101,P24530
P08908,P34969
P08908,P27338
P08908,P21397
P08908,P28222
P08908,P28223
P08908,P11362
Q9UK17,Q14524
Q08289,Q92736
Q08289,O43497
Q08289,Q9P0X4
Q08289,O95180
Q08289,Q14524
Q08289,Q00975
Q08289,Q8IZS8
Q08289,Q02641
Q08289,Q13698
Q08289,Q9NY47
Q08289,P54289
O75795,P23141
O75795,O00748
O75795,P54855
O75795,P21964
O75795,P24462
O75795,P10632
O75795,P20813
O75795,P05177
O75795,P52895
O75795,Q04828
O75795,P42330
O75795,P05181
O75795,P04798
O75795,P10635
O75795,P08684
P11021,Q14697
P20813,Q14994
P20813,O75469
P20813,P35503
P20813,P54855
P20813,O60656
P20813,P35354
P20813,P10632
P20813,P23219
P20813,P33261
P20813,P05181
P20813,P51589
P20813,Q9HAW8
P20813,Q9HAW9
P20813,P22310
P20813,P04798
P20813,P08684
P20813,P05177
P20813,P24462
P06401,P01106
P06401,P08235
P06401,Q16665
P06401,P10275
P06401,P21802
P06401,P03372
P19099,P08235
P19099,P30556
P19099,Q04828
P19099,P42330
Q8TET4,P04746
Q8TET4,O43451
P31639,P08235
P31639,O43451
P31639,P27487
P31639,P43220
Q14524,O95180
Q14524,O43497
Q14524,P35499
Q14524,P54289
Q14524,Q92736
P16581,P20701
O95180,Q02641
O95180,Q00975
O95180,Q9NY47
O95180,Q8IZS8
O95180,Q13698
O95180,P54289
O95180,O43497
O95180,Q9P0X4
O75469,P04798
O75469,Q9HAW9
O75469,P33261
O75469,Q9HAW8
O75469,P22310
O75469,P00742
O75469,P05177
O75469,O95342
O75469,P24462
O75469,P08684
O75469,P19793
P24462,P33261
P24462,P35503
P24462,Q14994
P24462,O60656
P24462,P54855
P24462,Q9HAW9
P24462,Q9HAW8
P24462,P22310
P24462,P42330
P24462,P04798
P24462,P05177
P24462,P10632
O60488,P06858
P21397,P28222
P21397,P14416
P21397,P28223
P21397,P33261
P21397,P08684
P21397,P10635
P21397,P27338
P21397,P21964
O00763,Q9Y478
O00763,Q13131
O00763,P53396
P54855,P33261
P54855,O00748
P54855,P23141
P54855,P21964
P54855,P10632
P54855,P05177
P54855,Q04828
P54855,P42330
P54855,P52895
P54855,P04798
P54855,P05181
P54855,P10635
P54855,P08684
P05177,Q14994
P05177,P35503
P05177,O60656
P05177,P42330
P05177,P51589
P05177,P10632
P05177,P47989
P05177,P04798
P05177,P33261
P05177,P22310
P05177,Q9HAW8
P05177,Q9HAW9
P05177,P08684
P05177,P05181
P13945,Q07869
P13945,P08588
Q9HAW8,P33261
Q9HAW8,P23141
Q9HAW8,O00748
Q9HAW8,P21964
Q9HAW8,P10632
Q9HAW8,P52895
Q9HAW8,P42330
Q9HAW8,Q04828
Q9HAW8,P05181
Q9HAW8,P10635
Q9HAW8,P04798
Q9HAW8,P08684
Q9HAW8,P35503
Q9HAW8,O60656
Q9HAW8,P22310
Q9HAW8,Q9HAW9
Q14654,Q09428
Q13131,Q9Y478
O60656,P33261
O60656,P23141
O60656,O00748
O60656,P21964
O60656,P10632
O60656,P42330
O60656,Q04828
O60656,P52895
O60656,P05181
O60656,P04798
O60656,P10635
O60656,P08684
O60656,P22310
O60656,Q9HAW9
O60656,P35503
O76074,P16066
O76074,Q02153
P20701,P05106
P54289,Q9NY47
P54289,O43497
P54289,Q8IZS8
P54289,Q00975
P54289,Q02641
P54289,Q13698
P08235,P10275
P08235,P08473
O43497,P35499
O43497,Q8IZS8
O43497,Q02641
O43497,Q13698
O43497,Q00975
O43497,Q9NY47
O43497,Q9P0X4
P23141,P35503
P23141,Q9HAW9
P23141,P22310
P23141,P05181
P23141,O00748
P23141,P08684
P27487,O43451
P27487,P08473
P27487,P43220
P27487,P00813
P21964,P21728
P21964,P35462
P21964,P35503
P21964,P22310
P21964,Q9HAW9
P21964,P28223
P21964,P14416
P21964,P04798
P21964,P27338
P23219,P51589
P23219,P10632
P23219,P05181
P23219,P33261
P23219,P35354
P14416,P28223
Q13698,Q8IZS8
Q13698,Q92736
Q13698,Q9NY47
Q13698,P28223
Q13698,Q02641
Q9Y233,P27815
Q9Y233,P16066
Q9Y233,Q02153
P35354,P47989
P35354,P01106
P35354,Q07869
P35354,P14780
P35354,Q16665
P35354,P05412
P35354,P51589
P35354,P33261
P35354,P05181
P35354,P10632
P01008,P00742
Q14994,P04798
Q14994,P08684
Q14994,P19793
P16066,P54750
P16066,P16860
P28222,P27338
P28222,P28223
P28222,P28221
P51589,P33261
P51589,P10632
P51589,P05181
P51589,P08684
P05412,P10275
P05412,Q92769
P05412,P14780
P05412,Q16665
P05412,P01106
P05412,Q07869
P05412,P03372
P10632,Q9BQB6
P10632,P35503
P10632,Q9HAW9
P10632,P22310
P10632,P33261
P10632,P05181
P10632,P04798
P10632,P08684
P33261,P35503
P33261,Q9HAW9
P33261,P22310
P33261,Q9BQB6
P33261,P05181
P33261,P10635
P33261,P27338
P33261,P08684
Q00975,Q8IZS8
Q00975,Q9NY47
Q00975,Q02641
P14780,P01106
P14780,P03372
P14780,Q16665
P00813,P47989
P43220,O43451
P22310,O00748
P22310,P52895
P22310,P42330
P22310,Q04828
P22310,P05181
P22310,P10635
P22310,P04798
P22310,P08684
P22310,Q9HAW9
P22310,P35503
Q9HAW9,O00748
Q9HAW9,P52895
Q9HAW9,P42330
Q9HAW9,Q04828
Q9HAW9,P05181
Q9HAW9,P10635
Q9HAW9,P04798
Q9HAW9,P08684
Q9HAW9,P35503
P28221,P27338
P10275,P01106
P10275,Q16665
P10275,P03372
O95477,Q07869
O95477,P19793
P27338,P08684
P27338,P10635
P25100,P30556
P25100,P35348
P51812,P03372
P51812,P21802
P51812,P11362
P42330,P05181
P42330,P35503
P42330,P08684
P42330,P04798
P42330,Q04828
P42330,P52895
P52895,P35503
P52895,Q04828
Q04828,P10635
Q04828,P35503
Q04828,P05181
Q04828,P08684
Q04828,P04798
P35462,P21728
Q8TDS4,P49019
P48048,P55017
P48048,Q13621
Q02641,Q8IZS8
Q02641,Q9NY47
Q9BQB6,P10635
P04798,P19793
P04798,Q07869
P04798,P03372
P04798,P10635
